CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;TITULARIDAD
Madrid-Este;28002671;CP INF-PRI;ANGEL BERZAL FERNANDEZ;Camino Del Fresno De Torote, S/n ;Daganzo de Arriba;-;28814;918841258;918782503;Público;
Madrid-Este;28025233;CP INF-PRI;ANGEL CASTRO;Calle Silo, S/n ;Valdeavero;-;28816;918864343;918864343;Público;
Madrid-Sur;28069212;CP INF-PRI;ANGEL GONZALEZ;Calle Humanes De Madrid, 12 ;Leganés;-;28914;916485884;916486532;Público;
Madrid-Norte;28057027;CP INF-PRI;ANGEL LEON;Calle De Las Moradas, 3 ;Colmenar Viejo;-;28770;918458083;918458084;Público;
Madrid-Sur;28057040;CP INF-PRI;ANTON SEVILLANO;Calle Ruiseñor, 1-3 ;Sevilla la Nueva;-;28609;918124093;918124064;Público;
Madrid-Este;28074608;CP INF-PRI;ANTONI TAPIES;Calle Venezuela, 12 ;Coslada;-;28823;916714733;916714733;Público;
Madrid-Norte;28037740;CP INF-PRI;ANTONIO BUERO VALLEJO;Calle Vizcaya, 28 ;San Sebastián de los Reyes;-;28701;916527825;916537253;Público;
Madrid-Este;28000054;CP INF-PRI;ANTONIO DE NEBRIJA;Calle San Ignacio De Loyola, 13 ;Alcalá de Henares;-;28806;918882368;918882368;Público;
Madrid-Sur;28023108;CP INF-PRI;ANTONIO HERNANDEZ;Calle Del Pintor Velázquez, 13 ;Móstoles;-;28933;916133008;916140148;Público;
Madrid-Norte;28000601;CP INF-PRI;ANTONIO MACHADO;Calle De Miraflores, 59 ;Alcobendas;-;28100;916526807;916639504;Público;
Madrid-Oeste;28031506;CP INF-PRI;ANTONIO MACHADO;Avenida Reyes Católicos, 7 ;Majadahonda;-;28220;916389521;916389521;Público;
Madrid-Sur;28030381;CP INF-PRI;ANTONIO MACHADO;Avenida De La Reina Sofía, 42 ;Leganés;-;28919;916881997;916808775;Público;
Madrid-Norte;28031521;CP INF-PRI;ANTONIO MACHADO;Avenida De Valencia, 5 ;San Sebastián de los Reyes;-;28702;916534935;-;Público;
Madrid-Este;28033621;CP INF-PRI;ANTONIO MACHADO;Calle Jiménez De Quesada, 7 ;Alcalá de Henares;-;28802;918815557;918815557;Público;
Madrid-Sur;28034027;CP INF-PRI;ANTONIO MACHADO;Calle Lago Tiberíades, 1 ;Parla;-;28981;916983566;916053921;Público;
Madrid-Norte;28039359;CP INF-PRI;ANTONIO MACHADO;Calle De Miguel De Cervantes, 7 ;Colmenar Viejo;-;28770;918455004;918457333;Público;
Madrid-Este;28042978;CP INF-PRI;ANTONIO MACHADO;Calle Tenerife, S/n ;Arganda del Rey;-;28500;918704741;918718095;Público;
Madrid-Sur;28049390;CP INF-PRI;ANTONIO MACHADO;Calle De La Comunidad De Madrid, 4 ;Fuenlabrada;-;28944;916900158;916154515;Público;
Madrid-Oeste;28041731;CP INF-PRI;ANTONIO MACHADO;Calle Ignacio González, 15 ;Collado Villalba;-;28400;918513622;918490423;Público;
Madrid-Este;28031531;CP INF-PRI;ANTONIO MACHADO;Calle Plata, S/n ;Torrejón de Ardoz;-;28850;916768492;916769638;Público;
Madrid-Este;28073926;CP INF-PRI;ANTONIO MINGOTE;Calle Arturo Soria, 7 ;Alcalá de Henares;-;28806;918786065;918786119;Público;
Madrid-Norte;28043387;CP INF-PRI;ANTONIO OSUNA;Sector Islas, 26 ;Tres Cantos;-;28760;918038300;918045289;Público;
Madrid-Oeste;28034064;CP INF-PRI;ANTONIORROBLES;Calle Monte Del Fraile, 6 ;San Lorenzo de El Escorial;-;28200;918903391;918901017;Público;
Madrid-Sur;28023145;CP INF-PRI;ANTUSANA;Calle Del Río Sil, 60 ;Móstoles;-;28935;916471347;916463087;Público;
Madrid-Este;28002245;CP INF-PRI;APIS AURELIA;Calle Madrid, 28 ;Colmenar de Oreja;-;28380;918943309;918942560;Público;
Madrid-Sur;28037582;CP INF-PRI;ARCIPRESTE DE HITA;Avenida De España, 26 ;Fuenlabrada;-;28941;916973014;916098694;Público;
Madrid-Norte;28064056;CP INF-PRI;ARCO DE LA SIERRA;Calle De Santa Águeda, S/n ;Molar, El;-;28710;918412890;918412918;Público;
Madrid-Oeste;28023807;CP INF-PRI;ASUNCION DE NTRA. SRA.;Calle Tahona, 12 ;Pozuelo de Alarcón;-;28223;917151253;917151253;Público;
Madrid-Sur;28031233;CP INF-PRI;AULA 3;Calle De Las Panaderas, 18 ;Fuenlabrada;-;28944;916154978;916099042;Público;
Madrid-Sur;28077336;CP INF-PRI;AVERROES;-;Arroyomolinos;-;-;-;-;Público;
Madrid-Norte;28060233;CP INF-PRI;BACHILLER ALONSO LOPEZ;Calle Francisco Largo Caballero, S/n ;Alcobendas;-;28100;916618157;916612505;Público;
Madrid-Sur;28001940;CP INF-PRI;BATALLA DE BRUNETE;Calle Del Escorial, 32 ;Brunete;-;28690;918158969;918159396;Público;
Madrid-Sur;28023029;CP INF-PRI;BEATO SIMON DE ROJAS;Paseo De Goya, 3 ;Móstoles;-;28931;916136188;916642560;Público;
Madrid-Este;28028738;CP INF-PRI;BEATRIZ GALINDO;Calle Violeta, 19 ;Alcalá de Henares;-;28803;918898064;918812912;Público;
Madrid-Sur;28035381;CP INF-PRI;BELLAS VISTAS;Calle De Sahagún, 32 ;Alcorcón;-;28925;914880223;914880713;Público;
Madrid-Este;28001824;CP INF-PRI;BELMONTE DE TAJO;Calle Tomás Díaz Vázquez, 8 ;Belmonte de Tajo;-;28390;918747247;918747386;Público;
Madrid-Oeste;28033953;CP INF-PRI;BENITO PEREZ GALDOS;Avenida Guadarrama, 40 ;Majadahonda;-;28220;916386453;916394536;Público;
Madrid-Sur;28039074;CP INF-PRI;BENITO PEREZ GALDOS;Calle Cuzco, 17 ;Fuenlabrada;-;28945;916066605;914920504;Público;
Madrid-Este;28069741;CP INF-PRI;BENITO PEREZ GALDOS;Calle León Felipe, 32 ;Arganda del Rey;-;28500;918759191;918759191;Público;
Madrid-Sur;28035573;CP INF-PRI;BENITO PEREZ GALDOS;Paseo De Arroyomolinos, 44 ;Móstoles;-;28938;916474667;916474667;Público;
Madrid-Sur;28076320;CP INF-PRI;BLAS DE LEZO;Calle Estrella Denébola, S/n ;Parla;-;28983;916216456;-;Público;
Madrid-Sur;28031130;CP INF-PRI;BLAS DE OTERO;Calle Del Pintor Velázquez, 20 ;Móstoles;-;28933;916186591;916643072;Público;
Madrid-Sur;28037533;CP INF-PRI;BLAS DE OTERO;Avenida Del Oeste, 4 ;Alcorcón;-;28922;916439985;916439985;Público;
Madrid-Este;28037557;CP INF-PRI;BLAS DE OTERO;Calle De La Virgen De La Cabeza, S/n ;Coslada;-;28821;916736620;916696918;Público;
Madrid-Sur;28029937;CP INF-PRI;BUENOS AIRES;Calle Cañada Real De Toledo, 24 ;Pinto;-;28320;916912548;916924128;Público;
Madrid-Sur;28003501;CP INF-PRI;CALDERON DE LA BARCA;Calle Río Duero, 24 ;Leganés;-;28913;914810294;916850961;Público;
Madrid-Sur;28039104;CP INF-PRI;CAMPOHERMOSO;Calle Valdehondillo, 1 ;Humanes de Madrid;-;28970;916040800;916042692;Público;
Madrid-Oeste;28060336;CP INF-PRI;CANTOS ALTOS;Camino De La Fonda, S/n ;Collado Villalba;-;28400;918499966;918498568;Público;
Madrid-Oeste;28002385;CP INF-PRI;CAÑADA REAL;Calle El Almiar, 35 ;Collado Villalba;-;28400;918500060;918506550;Público;
Madrid-Este;28000066;CP INF-PRI;CARDENAL CISNEROS;Calle San Juan, 2 ;Alcalá de Henares;-;28801;918880447;918837578;Público;
Madrid-Norte;28025130;CP INF-PRI;CARDENAL CISNEROS;Calle De Fray José De Almonacid, 13 ;Torrelaguna;-;28180;918430443;918431212;Público;
Madrid-Sur;28065528;CP INF-PRI;CARLOS CANO;Avenida De Nuevo Versalles, 2 ;Fuenlabrada;-;28942;916045480;916045480;Público;
Madrid-Sur;28065516;CP INF-PRI;CARLOS III;Calle De Las Moreras, 221 ;Aranjuez;-;28300;918090165;918923245;Público;
Madrid-Este;28002737;CP INF-PRI;CARLOS RUIZ;Calle Del Prado, 2 ;Estremera;-;28595;918721356;918721649;Público;
Madrid-Oeste;28002877;CP INF-PRI;CARLOS RUIZ;Calle Colmenarejo, 40 ;Galapagar;-;28260;918587015;918581268;Público;
Madrid-Sur;28050409;CP INF-PRI;CARLOS RUIZ;Calle De Antonio Machado, 48 ;Rozas de Puerto Real;-;28649;918648634;918648634;Público;
Madrid-Sur;28023297;CP INF-PRI;CARLOS RUIZ;Calle De Luis Zapata, 3 ;Navalcarnero;-;28600;918110553;918113817;Público;
Madrid-Este;28024836;CP INF-PRI;CARLOS RUIZ;Avenida Del Ferrocarril, 8 ;Tielmes;-;28550;918746030;918746030;Público;
Madrid-Sur;28000856;CP INF-PRI;CARMEN CONDE;Avenida Del Oeste, 2 ;Alcorcón;-;28922;916448242;916440016;Público;
Madrid-Sur;28035494;CP INF-PRI;CARMEN CONDE;Calle Pedro Patiño, 3 ;Leganés;-;28914;916887595;916887595;Público;
Madrid-Norte;28035391;CP INF-PRI;CARMEN HERNANDEZ GUARCH;Sector Descubridores, 26 ;Tres Cantos;-;28760;918030997;918032801;Público;
Madrid-Norte;28050367;CP INF-PRI;CARMEN IGLESIAS;Avenida De Los Labradores, 13 ;Tres Cantos;-;28760;918034186;918034237;Público;
Madrid-Oeste;28063994;CP INF-PRI;CARPE DIEM;Calle Rio Ebro, 2 ;Villanueva del Pardillo;-;28229;918100254;918123577;Público;
Madrid-Este;28031971;CP INF-PRI;CARRETAS;Calle Grupo Escolar, 1 ;Arganda del Rey;-;28500;918710827;918710827;Público;
Madrid-Norte;28033655;CP INF-PRI;CASTILLA;Plaza De Castilla, 4 ;Alcobendas;-;28100;916530448;912296976;Público;
Madrid-Sur;28031415;CP INF-PRI;CELSO EMILIO FERREIRO;Avenida De Los Sauces, 53 ;Móstoles;-;28935;916470184;916464218;Público;
Madrid-Este;28000078;CP INF-PRI;CERVANTES;Calle Giner De Los Ríos, 5 ;Alcalá de Henares;-;28800;918889973;918816276;Público;
Madrid-Sur;28026523;CP INF-PRI;CERVANTES;Calle De Extremadura, 40 ;Fuenlabrada;-;28944;916976809;916976809;Público;
Madrid-Este;28073938;CP INF-PRI;CHARLES DICKENS;Calle Berlín, 1 ;Loeches;-;28890;918851261;918851946;Público;
Madrid-Sur;28070706;CP INF-PRI;CHAVES NOGALES;Calle De Berlín C/v A C/ Atenas, S/n ;Alcorcón;-;28922;914983286;916890325;Público;
Madrid-Norte;28058551;CP INF-PRI;CHOZAS DE LA SIERRA;Avenida De Las Islas, S/n ;Soto del Real;-;28791;918479337;918478374;Público;
Madrid-Norte;28042826;CP INF-PRI;CIUDAD DE COLUMBIA;Sector Pueblos, 19 ;Tres Cantos;-;28760;918032800;918040934;Público;
Madrid-Sur;28025841;CP INF-PRI;CIUDAD DE GETAFE;Calle Buenavista, 25 ;Getafe;-;28904;916960122;916960122;Público;
Madrid-Sur;28003328;CP INF-PRI;CIUDAD DE MADRID;Avenida De Las Ciudades, 21 ;Getafe;-;28903;916952018;916829328;Público;
Madrid-Sur;28023480;CP INF-PRI;CIUDAD DE MERIDA;Avenida Juan Carlos I, 11 ;Parla;-;28981;-;916992958;Público;
Madrid-Norte;28045074;CP INF-PRI;CIUDAD DE NEJAPA;Avenida De Los Labradores, 26 ;Tres Cantos;-;28760;918033835;918035367;Público;
Madrid-Sur;28028519;CP INF-PRI;CIUDAD DE PARLA;Avenida Juan Carlos I, 15 ;Parla;-;28982;916991747;916991747;Público;
Madrid-Sur;28039131;CP INF-PRI;CIUDAD DE ROMA;Calle Moraleja De Enmedio, 21 ;Móstoles;-;28935;916458911;916458911;Público;
Madrid-Este;28030447;CP INF-PRI;CIUDAD DEL AIRE;Calle Barberán Y Collar, 21 ;Alcalá de Henares;-;28805;918880343;918833079;Público;
Madrid-Este;28024319;CP INF-PRI;CIUDADES UNIDAS;Calle Vitoria, S/n ;San Fernando de Henares;-;28830;916721138;916721138;Público;
Madrid-Sur;28035421;CP INF-PRI;CLARA CAMPOAMOR;Calle De Murcia, 14 ;Fuenlabrada;-;28945;916158712;916158712;Público;
Madrid-Sur;28067549;CP INF-PRI;CLARA CAMPOAMOR;Calle Del Parque Bujaruelo, 1 ;Alcorcón;-;28924;916198938;916211738;Público;
Madrid-Sur;28048403;CP INF-PRI;CLARA CAMPOAMOR;Calle Luis Morales, 2 ;Parla;-;28982;916996292;916058663;Público;
Madrid-Este;28050434;CP INF-PRI;CLARA CAMPOAMOR;Camino De Valdemoro, 11 ;San Martín de la Vega;-;28330;918093069;918087155;Público;
Madrid-Oeste;28064411;CP INF-PRI;CLARA CAMPOAMOR;Calle Campo De Fútbol, 4 ;Alpedrete;-;28430;918579458;918579458;Público;
Madrid-Sur;28035378;CP INF-PRI;CLAUDIO SANCHEZ ALBORNOZ;Calle De Claudio Sánchez Albornoz, S/n ;Alcorcón;-;28922;916439712;916439712;Público;
Madrid-Este;28023005;CP INF-PRI;CLAUDIO VAZQUEZ;Calle Del Grupo Escolar, 1 ;Morata de Tajuña;-;28530;918739083;918763506;Público;
Madrid-Sur;28033783;CP INF-PRI;CONCEPCION ARENAL;Avenida De Las Ciudades, 35 ;Getafe;-;28903;916019480;916824058;Público;
Madrid-Sur;28033825;CP INF-PRI;CONCEPCION ARENAL;Avenida Doctor Fleming, 5 ;Leganés;-;28912;916946516;916932835;Público;
Madrid-Este;28025476;CP INF-PRI;CONCEPCION GARCIA ROBLES;Calle De Los Colegios, 2 ;Villaconejos;-;28360;918938368;918939283;Público;
Madrid-Este;28065565;CP INF-PRI;CONDE DUQUE DE OLIVARES;Plaza Duquesa De Alba, 3 ;Loeches;-;28890;918851321;918308513;Público;
Madrid-Sur;28073008;CP INF-PRI;CONSTITUCION DE 1812;Calle De León C/v C/ Valladolid, S/n ;Leganés;-;28914;912640023;912640009;Público;
Madrid-Este;28044801;CP INF-PRI;C.R.A. AMIGOS DE LA PAZ;Calle De Las Escuelas, 3 ;Anchuelo;-;28818;918840269;918840269;Público;
Madrid-Norte;28067537;CP INF-PRI;C.R.A. DE CABANILLAS DE LA SIERRA;Avenida De Los Arrieros, 2 ;Cabanillas de la Sierra;-;28721;918439021;918439648;Público;
Madrid-Norte;28044771;CP INF-PRI;C.R.A. DE EL VELLON;Calle Pozo Nuevo, 8 ;Vellón, El;-;28722;918413475;918413097;Público;
Madrid-Norte;28042863;CP INF-PRI;C.R.A. DE LOZOYA;Calle Luna, 2 ;Lozoya;-;28742;918693805;918693298;Público;
Madrid-Norte;28044781;CP INF-PRI;C.R.A. DE LOZOYUELA;Avenida De Madrid, 32 ;Lozoyuela-Navas-Sieteiglesias;-;28752;918694002;918694167;Público;
Madrid-Este;28044823;CP INF-PRI;C.R.A. LOS OLIVOS;Carretera M-404 (aranjuez-brea), S/n ;Valdaracete;-;28594;918739492;918739492;Público;
Madrid-Oeste;28044847;CP INF-PRI;C.R.A. SIERRA OESTE ZARZALEJO;Avenida De La Estación, 75 ;Zarzalejo;-;28293;918992682;918992361;Público;
Madrid-Este;28044422;CP INF-PRI;C.R.A. VEGA DE TAJUÑA;Calle José Cañaveras, S/n ;Orusco de Tajuña;-;28570;918724616;918724534;Público;
Madrid-Sur;28065553;CP INF-PRI;CRISTO DE LA CAMPANA;Paseo De Castilla, S/n ;Villanueva de Perales;-;28609;918137894;918137895;Público;
Madrid-Sur;28025312;CP INF-PRI;CRISTO DE LA SALUD;Paseo Del Prado, 28 ;Valdemoro;-;28343;918954140;918083103;Público;
Madrid-Este;28038057;CP INF-PRI;CRISTOBAL COLON;Calle De Adarga, 2 ;Alcalá de Henares;-;28805;918779409;918835939;Público;
Madrid-Sur;28001137;CP INF-PRI;DANIEL MARTIN;Avenida Del Alcalde José Aranda, 45 ;Alcorcón;-;28923;916108191;916101196;Público;
Madrid-Oeste;28028155;CP INF-PRI;DANIEL VAZQUEZ DIAZ;Carretera M-619 (alpedrete), 1 ;Collado Villalba;-;28400;918506138;918406405;Público;
Madrid-Este;28000081;CP INF-PRI;DAOIZ Y VELARDE;Calle Infantado, 2 ;Alcalá de Henares;-;28807;918880958;918880958;Público;
Madrid-Norte;28000765;CP INF-PRI;DAOIZ Y VELARDE;Avenida De Valdelaparra, 92 ;Alcobendas;-;28108;916616095;916613142;Público;
Madrid-Sur;28069340;CP INF-PRI;DAOIZ Y VELARDE;Calle De José Echegaray, 59 ;Getafe;-;28909;916849327;916848845;Público;
Madrid-Sur;28073033;CP INF-PRI;DIEGO MUÑOZ-TORRERO;Calle De María Curie, 46 ;Valdemoro;-;28342;911744348;911743011;Público;
Madrid-Oeste;28022967;CP INF-PRI;DIVINO MAESTRO;Calle Calvario, 20 ;Molinos, Los;-;28460;918553575;918553324;Público;
Madrid-Oeste;28023881;CP INF-PRI;DIVINO MAESTRO;Calle Cirilo Palomo, 11 ;Pozuelo de Alarcón;-;28223;917158893;917158893;Público;
Madrid-Sur;28060282;CP INF-PRI;DÑA. LEONOR DEL ALAMO;Calle Rosalía De Castro, 4 ;Valdemoro;-;28342;918762311;918762344;Público;
Madrid-Sur;28028386;CP INF-PRI;DOCTOR SEVERO OCHOA;Avenida De Los Ángeles, 26 ;Getafe;-;28903;916950006;916950006;Público;
Madrid-Este;28000388;CP INF-PRI;DOCTORA DE ALCALA;Calle De Pedro Sarmiento De Gamboa, 11 ;Alcalá de Henares;-;28805;918883764;918833055;Público;
Madrid-Sur;28069170;CP INF-PRI;DOS DE MAYO;Calle Ruperto Chapí, 1 ;Pinto;-;28320;916706830;916926539;Público;
Madrid-Este;28060312;CP INF-PRI;DULCE CHACON;Calle Federica Montseny, 3 ;Rivas-Vaciamadrid;-;28521;914853408;916702214;Público;
Madrid-Sur;28062102;CP INF-PRI;DULCE CHACON;Calle De Concepción Arenal, 17 ;Fuenlabrada;-;28942;914869457;914869465;Público;
Madrid-Este;28028741;CP INF-PRI;DULCINEA;Cuesta Teatinos, 10 ;Alcalá de Henares;-;28805;918895926;918829312;Público;
Madrid-Este;28003961;CP INF-PRI;DUQUE DE ALBA;Avenida Argentina, 2 ;Loeches;-;28890;918851010;918308572;Público;
Madrid-Sur;28024794;CP INF-PRI;DUQUE DE RIVAS;Calle Villanueva, 1 ;Sevilla la Nueva;-;28609;918130019;918130790;Público;
Madrid-Sur;28000042;CP INF-PRI;EL ALAMO;Calle Del Río Alagón, 1 ;Álamo, El;-;28607;918120652;918122834;Público;
Madrid-Sur;28077211;CP INF-PRI;EL BERCIAL;Calle Camerún, S/n ;Getafe;-;28907;648229732;-;Público;
Madrid-Este;28024861;CP INF-PRI;EL BUEN GOBERNADOR;Avenida Constitución, 9 ;Torrejón de Ardoz;-;28850;916751372;916751372;Público;
Madrid-Oeste;28044653;CP INF-PRI;EL ENEBRAL;Calle Doctor José María Poveda, 6 ;Collado Villalba;-;28400;918507126;918517229;Público;
Madrid-Este;28039256;CP INF-PRI;EL JARAMA;Calle De Ramón Y Cajal, 9 ;San Fernando de Henares;-;28830;916742336;916742341;Público;
Madrid-Este;28028261;CP INF-PRI;EL OLIVAR;Calle De Nazario Calonge, S/n ;San Fernando de Henares;-;28830;916738928;916693699;Público;
Madrid-Este;28037946;CP INF-PRI;EL OLIVAR;Avenida De Covibar, 3 ;Rivas-Vaciamadrid;-;28523;916663979;916663242;Público;
Madrid-Este;28042164;CP INF-PRI;EL OLIVO;Avenida De España, S/n ;Coslada;-;28821;916722753;916739596;Público;
Madrid-Este;28042851;CP INF-PRI;EL PARQUE;Avenida De Covibar, 1 ;Rivas-Vaciamadrid;-;28523;916666078;916666078;Público;
Madrid-Oeste;28056138;CP INF-PRI;EL PERALEJO;Calle De Santa Quiteria, 28 ;Alpedrete;-;28430;918570367;918570339;Público;
Madrid-Sur;28058573;CP INF-PRI;EL POETA;Calle De Los Olmos, 2 ;Serranillos del Valle;-;28979;918175746;918175754;Público;
Madrid-Sur;28023674;CP INF-PRI;EL PRADO;Calle De La Cañada Real De La Mesta, 9 ;Pinto;-;28320;916911106;916914648;Público;
Madrid-Oeste;28060351;CP INF-PRI;EL RASO;Calle Del Raso, 6 ;Moralzarzal;-;28411;918421080;918421080;Público;
Madrid-Oeste;28038380;CP INF-PRI;EL TEJAR;Calle Del Romero, 4 ;Majadahonda;-;28221;916396400;916390090;Público;
Madrid-Sur;28001794;CP INF-PRI;EL TORREON;Calle De Serranillos, 6 ;Arroyomolinos;-;28939;916095705;916095705;Público;
Madrid-Sur;28073902;CP INF-PRI;EL TRIGAL;Calle Álava, 11 ;Fuenlabrada;-;28941;916156221;916156656;Público;
Madrid-Sur;28060294;CP INF-PRI;ELOY SAAVEDRA;Calle Timanfaya, 1 ;Ciempozuelos;-;28350;918931680;918015202;Público;
Madrid-Norte;28028775;CP INF-PRI;EMILIO CASADO;Calle Del Doctor Casimiro Morcillo, 51 ;Alcobendas;-;28100;916618407;916619572;Público;
Madrid-Sur;28073914;CP INF-PRI;EMPERADOR CARLOS V;Calle De Magallanes, S/n ;Getafe;-;28903;916812701;916831100;Público;
Madrid-Este;28000315;CP INF-PRI;EMPERADOR FERNANDO;Calle De La Ronda Fiscal, 44 ;Alcalá de Henares;-;28803;918823334;918807542;Público;
Madrid-Norte;28024034;CP INF-PRI;ENRIQUE DE MESA;Calle De Modesto Ortega Lobón, 12 ;Rascafría;-;28740;918691159;918691159;Público;
Madrid-Este;28038461;CP INF-PRI;ENRIQUE TIERNO GALVAN;Avenida De Algorta, S/n ;San Fernando de Henares;-;28830;916736531;916738816;Público;
Madrid-Sur;28039761;CP INF-PRI;ENRIQUE TIERNO GALVAN;Avenida De Europa, 11 ;Fuenlabrada;-;28943;916060831;914921802;Público;
Madrid-Norte;28039165;CP INF-PRI;ENRIQUE TIERNO GALVAN;Avenida De Valencia, 1 ;San Sebastián de los Reyes;-;28702;916587325;916530590;Público;
Madrid-Sur;28039815;CP INF-PRI;ENRIQUE TIERNO GALVAN;Avenida De Juan Carlos I, 26 ;Getafe;-;28905;916827190;916011566;Público;
Madrid-Este;28070718;CP INF-PRI;ERNEST HEMINGWAY;Calle Gonzalo Torrente Ballester, 74 ;Alcalá de Henares;-;28806;918784065;918303988;Público;
Madrid-Este;28050380;CP INF-PRI;ESPARTALES;Calle Rosalia De Castro, 3 ;Alcalá de Henares;-;28806;918832651;918870815;Público;
Madrid-Este;28039955;CP INF-PRI;EUROPA;Avenida De Juan Gris, 33 ;Mejorada del Campo;-;28840;916792551;916792551;Público;
Madrid-Sur;28050422;CP INF-PRI;EUROPA;Calle Grecia, 1 ;Pinto;-;28320;916921300;916913924;Público;
Madrid-Norte;28000595;CP INF-PRI;FEDERICO GARCIA LORCA;Calle Del Marqués De La Valdavia, 91 ;Alcobendas;-;28100;916624593;916624084;Público;
Madrid-Sur;28030393;CP INF-PRI;FEDERICO GARCIA LORCA;Calle Dinamarca, 11 ;Leganés;-;28916;916882114;914810194;Público;
Madrid-Sur;28030836;CP INF-PRI;FEDERICO GARCIA LORCA;Calle Del Olímpico Francisco Fernández Ochoa, 6 ;Alcorcón;-;28923;916410362;916416344;Público;
Madrid-Sur;28023157;CP INF-PRI;FEDERICO GARCIA LORCA;Calle De Francisco Javier Sauquillo, 26 ;Móstoles;-;28932;916189736;916643568;Público;
Madrid-Oeste;28050458;CP INF-PRI;FEDERICO GARCIA LORCA;Calle De Federico García Lorca, 4 ;Boadilla del Monte;-;28660;916325525;916325525;Público;
Madrid-Oeste;28035551;CP INF-PRI;FEDERICO GARCIA LORCA;Calle Norias, 76 ;Majadahonda;-;28221;916388161;916390209;Público;
Madrid-Norte;28033837;CP INF-PRI;FEDERICO GARCIA LORCA;Calle De Federico García Lorca, 1 ;Colmenar Viejo;-;28770;918453656;918464997;Público;
Madrid-Este;28030848;CP INF-PRI;FEDERICO GARCIA LORCA;Avenida Del Niño Jesus, 1 ;Arganda del Rey;-;28500;918711847;918710508;Público;
Madrid-Sur;28031518;CP INF-PRI;FELIPE IV;Calle De Monteclaro, S/n ;Navalcarnero;-;28600;918111051;918114637;Público;
Madrid-Este;28041743;CP INF-PRI;FELIX RODRIGUEZ DE LA FUENTE;Avenida De España, 142 ;Coslada;-;28822;916691452;916691452;Público;
Madrid-Sur;28032456;CP INF-PRI;FERNANDO DE LOS RIOS;Avenida De Las Fuerzas Armadas, 4 ;Getafe;-;28901;916817989;916839815;Público;
Madrid-Sur;28037521;CP INF-PRI;FERNANDO DE LOS RIOS;Avenida Del Oeste, 4 ;Alcorcón;-;28922;916439974;916439974;Público;
Madrid-Oeste;28038458;CP INF-PRI;FERNANDO DE LOS RIOS;Avenida De España, 1 ;Rozas de Madrid, Las;-;28231;916393365;916346508;Público;
Madrid-Norte;28024551;CP INF-PRI;FRANCISCO CARRILLO;Avenida De Parroco Miguel Ruiz Felguera, 2 ;San Sebastián de los Reyes;-;28701;916526847;916239311;Público;
Madrid-Sur;28070731;CP INF-PRI;FRANCISCO DE GOYA;Avenida De Europa, 4 ;Fuenlabrada;-;28943;916153513;916153513;Público;
Madrid-Sur;28063829;CP INF-PRI;FRANCISCO DE ORELLANA;Calle Barcelona, 19 ;Arroyomolinos;-;28939;916096054;916897935;Público;
Madrid-Sur;28028830;CP INF-PRI;FRANCISCO DE QUEVEDO;Camino De Los Frailes, 6 ;Leganés;-;28914;916948222;916939224;Público;
Madrid-Sur;28029652;CP INF-PRI;FRANCISCO DE QUEVEDO;Calle De Alemania, 18 ;Fuenlabrada;-;28943;916074845;916073663;Público;
Madrid-Este;28031440;CP INF-PRI;FRANCISCO DE QUEVEDO;Calle San Vidal, 8 ;Alcalá de Henares;-;28803;918807835;918807835;Público;
Madrid-Sur;28058561;CP INF-PRI;FRANCISCO DE QUEVEDO;Avenida De Las Fuerzas Armadas, 6 ;Getafe;-;28901;916821924;916810669;Público;
Madrid-Oeste;28032511;CP INF-PRI;FRANCISCO DE QUEVEDO;Calle Blas De Otero, 61 ;Majadahonda;-;28220;916347570;916384014;Público;
Madrid-Este;28063957;CP INF-PRI;FRANCISCO TOMAS Y VALIENTE;Calle Paulonia, 2 ;Velilla de San Antonio;-;28891;916608619;916608824;Público;
Madrid-Sur;28042243;CP INF-PRI;FRAY PEDRO DE AGUADO;Calle Duque De Lerma, 2 ;Valdemoro;-;28341;918955956;918083934;Público;
Madrid-Sur;28033761;CP INF-PRI;FREGACEDOS;Avenida De Pablo Iglesias, 1 ;Fuenlabrada;-;28942;916892852;916046218;Público;
Madrid-Sur;28063908;CP INF-PRI;FUENTE DE LA VILLA;Ronda De San Sebastián, S/n ;Valdemoro;-;28343;918091946;918091946;Público;
Madrid-Sur;28063854;CP INF-PRI;FUENTE DEL PALOMAR;Calle De Camilo José Cela, 2 ;Alcorcón;-;28922;916449864;916449855;Público;
Madrid-Norte;28038471;CP INF-PRI;FUENTE SANTA;Calle Del Real, 114 ;San Sebastián de los Reyes;-;28703;916511311;916515729;Público;
Madrid-Sur;28073884;CP INF-PRI;FUENTES CLARAS;Calle San Isidro, S/n ;Cubas de la Sagra;-;28978;918142993;918144074;Público;
Madrid-Norte;28031211;CP INF-PRI;FUENTESANTA;Avenida De Andalucía, 55 ;Colmenar Viejo;-;28770;918452904;918453502;Público;
Madrid-Sur;28039153;CP INF-PRI;GABRIEL CELAYA;Calle Del Pintor Murillo, 32 ;Móstoles;-;28933;916173359;916173359;Público;
Madrid-Norte;28033680;CP INF-PRI;GABRIEL GARCIA MARQUEZ;Sector Músicos, 11 ;Tres Cantos;-;28760;918037421;918030996;Público;
