CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;TITULARIDAD
Madrid-Sur;28047009;EEI;EL JUGLAR;Calle De Alonso Cano, 8 ;Móstoles;-;28933;916173761;916173761;Público;
Madrid-Sur;28043776;EEI;EL LAGO;Calle De Zaragoza, 6 ;Fuenlabrada;-;28941;916060622;916067296;Público;
Madrid-Sur;28068335;EEI;EL LIMONERO;Calle Estrella Polar, S/n ;Parla;-;28983;914241538;914241539;Público;
Madrid-Sur;28068347;EEI;EL MANZANO;Calle Planeta Tierra, S/n ;Parla;-;28983;914242240;914240796;Público;
Madrid-Sur;28048580;EEI;EL MOLINO;Avenida De Europa, 25 ;Fuenlabrada;-;28943;916082112;916082112;Público;
Madrid-Sur;28047022;EEI;EL NARANJO;Paseo Riazor, S/n ;Fuenlabrada;-;28942;916085189;916085189;Público;
Madrid-Sur;28068323;EEI;EL NARANJO;Calle Lago Blanco, S/n ;Parla;-;28981;916989624;916999945;Público;
Madrid-Oeste;28064275;EEI;EL NOGAL;Calle De Santiago Ramón Y Cajal, S/n ;Alpedrete;-;28430;918579055;918579057;Público;
Madrid-Sur;28065334;EEI;EL OLIVAR;Calle Las Afiladeras, 18 ;San Martín de Valdeiglesias;-;28680;918612203;-;Público;
Madrid-Norte;28044240;EEI;EL OLIVO;Avenida De La Vega, S/n ;Tres Cantos;-;28760;918031878;918031878;Público;
Madrid-Norte;28048014;EEI;EL POCITO;Calle Cultura, S/n ;Pedrezuela;-;28723;918446300;918446786;Público;
Madrid-Sur;28043821;EEI;EL PRADO;Calle Murillo, S/n ;Getafe;-;28904;916951042;916951318;Público;
Madrid-Norte;28068773;EEI;EL PRINCIPITO;Calle Virtudes, 32-34 ;Algete;-;28110;916291761;916291761;Público;
Madrid-Sur;28060634;EEI;EL REGAJAL;Calle La Imago, S/n ;Aranjuez;-;28300;918090252;918090253;Público;
Madrid-Sur;28048609;EEI;EL ROMANCERO;Calle Dinamarca, 11 ;Leganés;-;28916;916884688;916884688;Público;
Madrid-Norte;28044264;EEI;EL ROMERAL;Calle Sector Islas, 24 ;Tres Cantos;-;28760;918030248;918030248;Público;
